learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.09375,-2.4253192047278088E-14,1000.0,82.39999999999999,64.8,82.39999999999999,-Infinity,1000.0,-1.0,10.0
2000.0,0.171875,-4.446418542000983E-14,2000.0,73.4,46.8,73.4,46.8,2000.0,-1.0,10.0
3000.0,0.25,-6.467517879274156E-14,3000.0,74.1,48.199999999999996,74.1,48.199999999999996,3000.0,-1.0,10.0
4000.0,0.3125,-8.084397349092696E-14,4000.0,77.3,54.6,77.3,54.6,4000.0,-1.0,10.0
5000.0,0.390625,-1.010549668636587E-13,5000.0,73.8,47.599999999999994,73.8,47.599999999999994,5000.0,-1.0,10.0
6000.0,0.46875,-1.2126596023639043E-13,6000.0,73.8,47.599999999999994,73.8,47.599999999999994,6000.0,-1.0,10.0
7000.0,0.53125,-1.3743475493457582E-13,7000.0,75.3,50.6,75.3,50.6,7000.0,-1.0,10.0
8000.0,0.625,-1.6168794698185392E-13,8000.0,67.4,34.80000000000001,67.4,34.80000000000001,8000.0,-1.0,10.0
9000.0,0.703125,-1.8189894035458566E-13,9000.0,73.6,47.199999999999996,73.6,47.199999999999996,9000.0,-1.0,10.0
10000.0,0.765625,-1.9806773505277105E-13,10000.0,71.0,41.99999999999999,71.0,41.99999999999999,10000.0,-1.0,10.0
11000.0,0.84375,-2.182787284255028E-13,11000.0,72.6,45.199999999999996,72.6,45.199999999999996,11000.0,-1.0,10.0
12000.0,0.90625,-2.3444752312368816E-13,12000.0,75.8,51.6,75.8,51.6,12000.0,-1.0,10.0
13000.0,0.984375,-2.546585164964199E-13,13000.0,75.0,50.0,75.0,50.0,13000.0,-1.0,10.0
14000.0,1.0625,-2.748695098691516E-13,14000.0,73.5,47.0,73.5,47.0,14000.0,-1.0,10.0
15000.0,1.140625,-2.950805032418833E-13,15000.0,70.89999999999999,41.79999999999999,70.89999999999999,41.79999999999999,15000.0,-1.0,10.0
16000.0,1.21875,-3.1529149661461503E-13,16000.0,64.9,29.800000000000004,64.9,29.800000000000004,16000.0,-1.0,10.0
17000.0,1.296875,-3.3550248998734675E-13,17000.0,70.89999999999999,41.79999999999999,70.89999999999999,41.79999999999999,17000.0,-1.0,10.0
18000.0,1.375,-3.5571348336007847E-13,18000.0,71.2,42.39999999999999,71.2,42.39999999999999,18000.0,-1.0,10.0
19000.0,1.4375,-3.7188227805826386E-13,19000.0,72.7,45.4,72.7,45.4,19000.0,-1.0,10.0
20000.0,1.515625,-3.920932714309956E-13,20000.0,78.10000000000001,56.2,78.10000000000001,56.2,20000.0,-1.0,10.0
21000.0,1.59375,-4.123042648037273E-13,21000.0,69.89999999999999,39.79999999999999,69.89999999999999,39.79999999999999,21000.0,-1.0,10.0
22000.0,1.671875,-4.32515258176459E-13,22000.0,69.89999999999999,39.79999999999999,69.89999999999999,39.79999999999999,22000.0,-1.0,10.0
23000.0,1.75,-4.5272625154919073E-13,23000.0,72.89999999999999,45.8,72.89999999999999,45.8,23000.0,-1.0,10.0
24000.0,1.828125,-4.729372449219225E-13,24000.0,70.7,41.39999999999999,70.7,41.39999999999999,24000.0,-1.0,10.0
25000.0,1.90625,-4.931482382946543E-13,25000.0,77.0,54.00386367545127,76.97697697697697,54.0,25000.0,-1.0,10.0
26000.0,2.0,-5.174014303419323E-13,26000.0,47.4,-5.200000000000005,47.4,-52499.999999999956,26000.0,-1.0,10.0
27000.0,2.09375,-5.416546223892103E-13,27000.0,50.3,0.6000000000000005,50.3,0.6000000000000005,27000.0,-1.0,10.0
28000.0,2.171875,-5.618656157619421E-13,28000.0,52.400000000000006,4.800000000000004,52.400000000000006,4.800000000000004,28000.0,-1.0,10.0
29000.0,2.265625,-5.861188078092202E-13,29000.0,52.300000000000004,4.600000000000004,52.300000000000004,4.600000000000004,29000.0,-1.0,10.0
30000.0,2.328125,-6.022876025074055E-13,30000.0,53.900000000000006,7.800000000000007,53.900000000000006,7.800000000000007,30000.0,-1.0,10.0
31000.0,2.40625,-6.224985958801373E-13,31000.0,49.2,-1.6000000000000014,49.2,-1.6000000000000014,31000.0,-1.0,10.0
32000.0,2.46875,-6.386673905783227E-13,32000.0,53.2,6.400000000000006,53.2,6.400000000000006,32000.0,-1.0,10.0
