learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.015625,-4.042198674546348E-15,1000.0,89.2,78.4,89.2,-Infinity,1000.0,-1.0,10.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,93.5,87.00000000000001,93.5,87.00000000000001,2000.0,-1.0,10.0
3000.0,0.046875,-1.2126596023639042E-14,3000.0,93.89999999999999,87.79999999999998,93.89999999999999,87.79999999999998,3000.0,-1.0,10.0
4000.0,0.046875,-1.2126596023639042E-14,4000.0,94.1,88.19999999999999,94.1,88.19999999999999,4000.0,-1.0,10.0
5000.0,0.0625,-1.616879469818539E-14,5000.0,95.0,89.99999999999999,95.0,89.99999999999999,5000.0,-1.0,10.0
6000.0,0.078125,-2.021099337273174E-14,6000.0,94.5,88.99999999999999,94.5,88.99999999999999,6000.0,-1.0,10.0
7000.0,0.09375,-2.4253192047278088E-14,7000.0,94.39999999999999,88.79999999999998,94.39999999999999,88.79999999999998,7000.0,-1.0,10.0
8000.0,0.109375,-2.8295390721824436E-14,8000.0,94.3,88.6,94.3,88.6,8000.0,-1.0,10.0
9000.0,0.125,-3.233758939637078E-14,9000.0,94.39999999999999,88.79999999999998,94.39999999999999,88.79999999999998,9000.0,-1.0,10.0
10000.0,0.140625,-3.637978807091713E-14,10000.0,95.39999999999999,90.8,95.39999999999999,90.8,10000.0,-1.0,10.0
11000.0,0.15625,-4.042198674546348E-14,11000.0,93.5,87.00000000000001,93.5,87.00000000000001,11000.0,-1.0,10.0
12000.0,0.171875,-4.446418542000983E-14,12000.0,94.6,89.19999999999999,94.6,89.19999999999999,12000.0,-1.0,10.0
13000.0,0.1875,-4.8506384094556176E-14,13000.0,93.60000000000001,87.20000000000002,93.60000000000001,87.20000000000002,13000.0,-1.0,10.0
14000.0,0.203125,-5.2548582769102524E-14,14000.0,95.7,91.39999999999999,95.7,91.39999999999999,14000.0,-1.0,10.0
15000.0,0.21875,-5.659078144364887E-14,15000.0,94.19999999999999,88.39999999999999,94.19999999999999,88.39999999999999,15000.0,-1.0,10.0
16000.0,0.234375,-6.063298011819522E-14,16000.0,95.0,90.00043998064085,94.99499499499498,76.63551401869157,16000.0,-1.0,10.0
17000.0,0.25,-6.467517879274156E-14,17000.0,94.5,88.99964798873563,94.49449449449449,87.99126637554583,17000.0,-1.0,10.0
18000.0,0.28125,-7.275957614183426E-14,18000.0,94.69999999999999,89.39999999999999,94.69999999999999,89.39999999999999,18000.0,-1.0,10.0
19000.0,0.296875,-7.680177481638061E-14,19000.0,94.3,88.6,94.2655935613682,83.38192419825072,19000.0,-1.0,10.0
20000.0,0.296875,-7.680177481638061E-14,20000.0,95.6,91.2005279683219,95.56898288016113,83.07692307692307,20000.0,-1.0,10.0
21000.0,0.3125,-8.084397349092696E-14,21000.0,93.10000000000001,86.20000000000002,92.93032786885247,84.2105263157895,21000.0,-1.0,10.0
22000.0,0.328125,-8.48861721654733E-14,22000.0,91.5,83.0,91.07142857142857,78.2608695652174,22000.0,-1.0,10.0
23000.0,0.34375,-8.892837084001965E-14,23000.0,89.9,79.79806061381893,88.79023307436182,75.544794188862,23000.0,-1.0,10.0
24000.0,0.359375,-9.2970569514566E-14,24000.0,83.3,66.60667866426714,79.30607187112763,53.089887640449426,24000.0,-1.0,10.0
25000.0,0.359375,-9.2970569514566E-14,25000.0,75.3,50.6,67.67015706806284,35.84415584415584,25000.0,-1.0,10.0
26000.0,0.375,-9.701276818911235E-14,26000.0,68.7,37.37895933033501,58.869908015768736,14.246575342465768,26000.0,-1.0,10.0
