learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,0.125,-3.233758939637078E-14,1000.0,85.1,70.23429009780733,82.17703349282296,65.4292343387471,1000.0,-1.0
2000.0,0.21875,-5.6590781443648867E-14,2000.0,85.6,71.20460726283794,82.3095823095823,70.85020242914979,2000.0,-1.0
3000.0,0.296875,-7.680177481638061E-14,3000.0,89.4,78.79660745719316,87.55868544600939,77.58985200845666,3000.0,-1.0
4000.0,0.390625,-1.010549668636587E-13,4000.0,88.2,76.40264290399476,85.67961165048543,76.49402390438247,4000.0,-1.0
5000.0,0.46875,-1.2126596023639043E-13,5000.0,88.4,76.79916476993172,85.88807785888076,76.47058823529413,5000.0,-1.0
6000.0,0.546875,-1.4147695360912217E-13,6000.0,87.1,74.20557159653515,83.83458646616542,73.88663967611336,6000.0,-1.0
7000.0,0.640625,-1.6573014565640026E-13,7000.0,88.2,76.4010383543124,85.46798029556649,75.21008403361344,7000.0,-1.0
8000.0,0.71875,-1.85941139029132E-13,8000.0,88.5,76.99944798675168,85.83743842364532,76.90763052208835,8000.0,-1.0
9000.0,0.796875,-2.0615213240186375E-13,9000.0,88.7,77.40253091653734,86.04938271604938,77.49003984063745,9000.0,-1.0
10000.0,0.875,-2.263631257745955E-13,10000.0,88.5,76.99042801805551,85.58897243107769,76.95390781563127,10000.0,-1.0
11000.0,0.953125,-2.4657411914732723E-13,11000.0,87.0,73.99833589349718,83.46055979643766,73.79032258064517,11000.0,-1.0
12000.0,1.015625,-2.6274291384551263E-13,12000.0,89.8,79.60130551644696,87.79904306220095,79.05544147843942,12000.0,-1.0
13000.0,1.109375,-2.869961058927907E-13,13000.0,87.6,75.20277728894364,84.30379746835443,74.84787018255578,13000.0,-1.0
14000.0,1.203125,-3.112492979400688E-13,14000.0,90.9,81.80000000000001,89.21800947867298,81.80000000000001,14000.0,-1.0
15000.0,1.28125,-3.3146029131280053E-13,15000.0,89.7,79.39917596703869,87.56038647342996,79.1919191919192,15000.0,-1.0
16000.0,1.359375,-3.5167128468553224E-13,16000.0,89.7,79.40411917616477,87.59036144578315,79.27565392354126,16000.0,-1.0
17000.0,1.4375,-3.7188227805826396E-13,17000.0,90.2,80.4,88.22115384615384,80.43912175648703,17000.0,-1.0
18000.0,1.515625,-3.920932714309957E-13,18000.0,88.4,76.79953599071982,85.87088915956153,76.93836978131213,18000.0,-1.0
19000.0,1.59375,-4.123042648037274E-13,19000.0,88.8,77.60044799104018,86.18988902589398,76.76348547717843,19000.0,-1.0
