learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.125,-3.233758939637078E-14,1000.0,58.8,54.13395556782608,54.222222222222214,52.752293577981646,1000.0,-1.0,10.0
2000.0,0.25,-6.467517879274156E-14,2000.0,66.2,62.40087123188317,62.569213732004435,61.547212741752,2000.0,-1.0,10.0
3000.0,0.375,-9.701276818911234E-14,3000.0,60.199999999999996,55.63497168106672,56.119073869900774,54.66970387243736,3000.0,-1.0,10.0
4000.0,0.5,-1.2935035758548313E-13,4000.0,63.2,59.08187738573226,58.97435897435898,58.27664399092971,4000.0,-1.0,10.0
5000.0,0.640625,-1.6573014565640026E-13,5000.0,64.3,60.264767982975066,60.726072607260726,59.523809523809526,5000.0,-1.0,10.0
6000.0,0.765625,-1.9806773505277105E-13,6000.0,60.8,56.39701408532169,56.4927857935627,55.50510783200908,6000.0,-1.0,10.0
7000.0,0.890625,-2.3040532444914184E-13,7000.0,64.8,60.81910335853748,61.82212581344903,60.090702947845806,7000.0,-1.0,10.0
8000.0,1.03125,-2.6678511252005895E-13,8000.0,61.199999999999996,56.827536020633765,57.54923413566739,56.158192090395474,8000.0,-1.0,10.0
9000.0,1.171875,-3.0316490059097606E-13,9000.0,64.0,59.94062310135245,60.088691796008874,59.86622073578596,9000.0,-1.0,10.0
10000.0,1.296875,-3.3550248998734685E-13,10000.0,64.0,59.91211845523576,59.73154362416108,59.5050618672666,10000.0,-1.0,10.0
11000.0,1.421875,-3.6784007938371764E-13,11000.0,62.7,58.503269675346495,58.73893805309734,58.04274465691789,11000.0,-1.0,10.0
12000.0,1.546875,-4.0017766878008843E-13,12000.0,67.2,63.48520371471257,63.916391639163926,62.895927601809966,12000.0,-1.0,10.0
13000.0,1.671875,-4.325152581764592E-13,13000.0,70.19999999999999,66.87033627720412,66.74107142857142,66.47919010123734,13000.0,-1.0,10.0
14000.0,1.796875,-4.6485284757283E-13,14000.0,62.4,58.190865371250666,58.175750834260285,57.32122587968218,14000.0,-1.0,10.0
15000.0,1.953125,-5.052748343182934E-13,15000.0,63.2,59.06503653556725,58.97435897435898,58.465011286681715,15000.0,-1.0,10.0
16000.0,2.078125,-5.376124237146642E-13,16000.0,66.9,63.153359946032474,63.30376940133038,62.17142857142858,16000.0,-1.0,10.0
17000.0,2.203125,-5.69950013111035E-13,17000.0,62.9,58.70615589928754,59.4535519125683,58.0316742081448,17000.0,-1.0,10.0
18000.0,2.328125,-6.022876025074058E-13,18000.0,63.6,59.509216102873275,59.46547884187082,58.87005649717514,18000.0,-1.0,10.0
19000.0,2.46875,-6.386673905783229E-13,19000.0,67.80000000000001,64.18505426742865,64.1025641025641,63.779527559055126,19000.0,-1.0,10.0
20000.0,2.59375,-6.710049799746937E-13,20000.0,67.30000000000001,63.65632891133478,63.3408071748879,63.66666666666667,20000.0,-1.0,10.0
21000.0,2.734375,-7.073847680456109E-13,21000.0,67.5,63.853746698178796,64.51965065502185,62.77205040091639,21000.0,-1.0,10.0
22000.0,2.859375,-7.397223574419817E-13,22000.0,67.5,63.84461863303734,64.16758544652701,63.19365798414497,22000.0,-1.0,10.0
23000.0,2.984375,-7.720599468383524E-13,23000.0,60.4,55.968395092477486,56.43564356435643,55.605381165919276,23000.0,-1.0,10.0
24000.0,3.109375,-8.043975362347232E-13,24000.0,60.9,56.4854972060573,56.26398210290827,55.618615209988654,24000.0,-1.0,10.0
25000.0,3.234375,-8.36735125631094E-13,25000.0,62.6,58.40964718258721,58.39822024471635,57.644394110985274,25000.0,-1.0,10.0
26000.0,3.375,-8.731149137020112E-13,26000.0,63.800000000000004,59.715381379603514,59.777777777777786,59.04977375565611,26000.0,-1.0,10.0
27000.0,3.5,-9.05452503098382E-13,27000.0,66.10000000000001,62.306151880633934,62.45847176079735,61.43344709897611,27000.0,-1.0,10.0
28000.0,3.625,-9.377900924947527E-13,28000.0,64.3,60.220137524667415,60.639470782800444,59.33940774487472,28000.0,-1.0,10.0
29000.0,3.75,-9.701276818911234E-13,29000.0,62.4,58.185239389504495,58.082497212932,57.36961451247166,29000.0,-1.0,10.0
30000.0,3.890625,-1.0065074699620406E-12,30000.0,64.0,59.928851449573806,60.396039603960396,59.183673469387756,30000.0,-1.0,10.0
31000.0,4.015625,-1.0388450593584114E-12,31000.0,61.8,57.483797654040536,57.60266370699223,56.64018161180476,31000.0,-1.0,10.0
32000.0,4.140625,-1.0711826487547822E-12,32000.0,56.2,51.23406756865086,52.49457700650759,50.34013605442178,32000.0,-1.0,10.0
33000.0,4.28125,-1.1075624368256993E-12,33000.0,63.800000000000004,59.71484341092863,60.393873085339166,59.09604519774011,33000.0,-1.0,10.0
34000.0,4.40625,-1.1399000262220701E-12,34000.0,63.6,59.49682595318768,59.64523281596452,59.42028985507246,34000.0,-1.0,10.0
35000.0,4.53125,-1.172237615618441E-12,35000.0,66.8,63.03570394716333,62.82194848824189,62.6546681664792,35000.0,-1.0,10.0
36000.0,4.65625,-1.2045752050148117E-12,36000.0,68.7,65.1906230433627,65.41436464088399,64.79190101237347,36000.0,-1.0,10.0
37000.0,4.78125,-1.2369127944111825E-12,37000.0,67.0,63.274368291312165,63.6963696369637,62.66968325791855,37000.0,-1.0,10.0
38000.0,4.921875,-1.2732925824820997E-12,38000.0,63.9,59.84958609483283,59.70982142857143,59.39257592800901,38000.0,-1.0,10.0
