learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.0625,-1.616879469818539E-14,1000.0,84.6,69.22105279988487,81.57894736842105,64.2691415313225,1000.0,-1.0,9.0
2000.0,0.109375,-2.8295390721824433E-14,2000.0,84.89999999999999,69.81304076638891,81.44963144963144,69.4331983805668,2000.0,-1.0,9.0
3000.0,0.140625,-3.637978807091713E-14,3000.0,87.5,74.97898234516994,85.32863849765259,73.57293868921776,3000.0,-1.0,9.0
4000.0,0.1875,-4.8506384094556176E-14,4000.0,85.39999999999999,70.80700631848356,82.28155339805824,70.91633466135457,4000.0,-1.0,9.0
5000.0,0.234375,-6.063298011819522E-14,5000.0,86.7,73.39361446747219,83.81995133819952,73.02231237322515,5000.0,-1.0,9.0
6000.0,0.28125,-7.275957614183426E-14,6000.0,85.3,70.61058019113119,81.57894736842105,70.24291497975707,6000.0,-1.0,9.0
7000.0,0.328125,-8.48861721654733E-14,7000.0,87.4,74.79445478005161,84.48275862068965,73.52941176470587,7000.0,-1.0,9.0
8000.0,0.359375,-9.2970569514566E-14,8000.0,86.9,73.79601699458318,83.86699507389163,73.69477911646585,8000.0,-1.0,9.0
9000.0,0.40625,-1.0509716553820505E-13,9000.0,87.3,74.61137410440124,84.32098765432099,74.7011952191235,9000.0,-1.0,9.0
10000.0,0.453125,-1.1722376156184408E-13,10000.0,87.2,74.38001641280198,83.95989974937342,74.34869739478958,10000.0,-1.0,9.0
11000.0,0.484375,-1.2530815891093678E-13,11000.0,85.5,70.99118131912101,81.55216284987277,70.76612903225806,11000.0,-1.0,9.0
12000.0,0.53125,-1.3743475493457582E-13,12000.0,88.4,76.81483850335785,86.1244019138756,76.18069815195072,12000.0,-1.0,9.0
13000.0,0.578125,-1.4956135095821487E-13,13000.0,86.8,73.58816749903957,83.29113924050633,73.22515212981745,13000.0,-1.0,9.0
14000.0,0.609375,-1.5764574830730757E-13,14000.0,89.7,79.40065917890628,87.79620853080569,79.4,14000.0,-1.0,9.0
15000.0,0.65625,-1.697723443309466E-13,15000.0,88.8,77.6022397760224,86.4734299516908,77.37373737373737,15000.0,-1.0,9.0
16000.0,0.703125,-1.8189894035458566E-13,16000.0,87.8,75.60926847797838,85.3012048192771,75.45271629778672,16000.0,-1.0,9.0
17000.0,0.734375,-1.8998333770367835E-13,17000.0,88.9,77.79911196447858,86.65865384615384,77.84431137724552,17000.0,-1.0,9.0
18000.0,0.78125,-2.021099337273174E-13,18000.0,87.4,74.79808465443374,84.652862362972,74.95029821073558,18000.0,-1.0,9.0
19000.0,0.828125,-2.1423652975095645E-13,19000.0,87.4,74.80171348348313,84.46362515413071,73.85892116182573,19000.0,-1.0,9.0
20000.0,0.859375,-2.2232092710004914E-13,20000.0,87.2,74.36308283928858,84.13878562577449,73.66255144032921,20000.0,-1.0,9.0
