learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.015022267,-3.886271216389206E-15,1000.0,71.1,38.565537179541685,11.34969325153372,11.34969325153372,1000.0,-1.0,7.0
2000.0,0.040079116,-1.0368495972620117E-14,2000.0,70.6,33.261600904373395,6.9620253164556685,-7.692307692307699,2000.0,-1.0,12.0
3000.0,0.068155949,-1.7631992749455903E-14,3000.0,71.1,34.339670653240745,1.7006802721088448,-7.835820895522394,3000.0,-1.0,8.0
4000.0,0.097538555,-2.5233293935242626E-14,4000.0,67.5,32.369441808586785,0.9146341463414644,-3.8338658146964897,4000.0,-1.0,13.0
5000.0,0.135573365,-3.5072926483634445E-14,5000.0,70.5,35.54842825556904,14.739884393063566,3.5947712418300677,5000.0,-1.0,15.0
6000.0,0.183849267,-4.7561936856557925E-14,6000.0,70.19999999999999,36.09099955392375,5.9936908517349865,1.973684210526317,6000.0,-1.0,21.0
7000.0,0.229257967,-5.930920002154178E-14,7000.0,68.7,36.695548058798316,-9.05923344947732,-9.44055944055941,7000.0,-1.0,17.0
8000.0,0.283127784,-7.324536020557086E-14,8000.0,64.8,30.50071078818512,-6.024096385542175,-10.00000000000001,8000.0,-1.0,22.0
9000.0,0.346833361,-8.972603853584992E-14,9000.0,72.3,39.038883069095135,18.2890855457227,13.166144200626938,9000.0,-1.0,27.0
10000.0,0.411537007,-1.0646491803021894E-13,10000.0,72.8,38.74315364658402,9.63455149501662,5.55555555555556,10000.0,-1.0,26.0
11000.0,0.484236051,-1.2527221270526448E-13,11000.0,70.19999999999999,35.61907230971978,-4.1958041958041985,-12.452830188679256,11000.0,-1.0,27.0
12000.0,0.55947612,-1.4473687236507733E-13,12000.0,69.5,33.856696738376115,-0.3289473684210529,-18.677042801556436,12000.0,-1.0,26.0
13000.0,0.613133394,-1.5861804752300182E-13,13000.0,75.0,44.387101366742584,26.686217008797648,25.149700598802387,13000.0,-1.0,10.0
14000.0,0.645571584,-1.670098304748535E-13,14000.0,69.69999999999999,40.035622402533136,7.339449541284377,23.096446700507606,14000.0,-1.0,15.0
15000.0,0.694740277,-1.797298065179752E-13,15000.0,72.0,38.99250479344605,6.040268456375843,9.677419354838717,15000.0,-1.0,21.0
16000.0,0.749094196,-1.9379120423561996E-13,16000.0,73.7,46.54949557356658,25.495750708215294,33.91959798994975,16000.0,-1.0,22.0
17000.0,0.807436874,-2.0888449675920937E-13,17000.0,66.5,34.59177457396792,-1.8237082066869321,-1.2084592145015118,17000.0,-1.0,25.0
18000.0,0.869475453,-2.2493392151469986E-13,18000.0,66.2,33.75666353088743,-0.5952380952380958,9.139784946236567,18000.0,-1.0,25.0
18159.0,0.879154766,-2.274379667101635E-13,18159.0,64.1,30.400998813521202,-7.164179104477619,1.9125683060109306,18159.0,-1.0,21.0
