learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.015625,-4.042198674546348E-15,1000.0,82.5,65.09299226859645,79.066985645933,59.39675174013921,1000.0,-1.0,4.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,84.3,68.63161932771766,80.71253071253071,68.21862348178136,2000.0,-1.0,8.0
3000.0,0.0625,-1.616879469818539E-14,3000.0,85.6,71.1168164313222,83.09859154929578,69.55602536997885,3000.0,-1.0,8.0
4000.0,0.09375,-2.4253192047278085E-14,4000.0,84.7,69.41737093330988,81.43203883495146,69.5219123505976,4000.0,-1.0,9.0
5000.0,0.125,-3.233758939637078E-14,5000.0,83.5,66.97066995491996,79.92700729927007,66.53144016227179,5000.0,-1.0,14.0
6000.0,0.171875,-4.446418542000983E-14,6000.0,82.69999999999999,65.46382285536329,78.32080200501252,64.97975708502022,6000.0,-1.0,16.0
7000.0,0.21875,-5.659078144364887E-14,7000.0,84.5,68.90971380890105,80.91133004926108,67.43697478991596,7000.0,-1.0,18.0
8000.0,0.28125,-7.275957614183426E-14,8000.0,84.2,68.38280024333237,80.54187192118225,68.27309236947791,8000.0,-1.0,21.0
9000.0,0.34375,-8.892837084001965E-14,9000.0,84.39999999999999,68.85319873655796,80.74074074074072,68.92430278884461,9000.0,-1.0,24.0
10000.0,0.40625,-1.0509716553820505E-13,10000.0,85.39999999999999,70.72540834045147,81.70426065162906,70.74148296593185,10000.0,-1.0,24.0
11000.0,0.484375,-1.2530815891093678E-13,11000.0,83.0,65.95969628039599,78.37150127226464,65.7258064516129,11000.0,-1.0,29.0
12000.0,0.578125,-1.4956135095821487E-13,12000.0,84.7,69.46936560135372,81.69856459330144,68.58316221765914,12000.0,-1.0,32.0
13000.0,0.65625,-1.697723443309466E-13,13000.0,82.8,65.4685040634737,78.22784810126582,65.11156186612575,13000.0,-1.0,35.0
14000.0,0.765625,-1.9806773505277105E-13,14000.0,85.3,70.6084647621485,82.58293838862559,70.6,14000.0,-1.0,36.0
15000.0,0.859375,-2.2232092710004914E-13,15000.0,84.7,69.43789700771043,81.52173913043478,69.09090909090908,15000.0,-1.0,39.0
16000.0,0.96875,-2.5061631782187356E-13,16000.0,85.7,71.4331375604299,82.7710843373494,71.22736418511066,16000.0,-1.0,41.0
17000.0,1.078125,-2.7891170854369797E-13,17000.0,87.1,74.19029555112722,84.4951923076923,74.25149700598801,17000.0,-1.0,44.0
18000.0,1.203125,-3.1124929794006876E-13,18000.0,84.2,68.39178186328445,80.75517661388551,68.58846918489066,18000.0,-1.0,46.0
19000.0,1.328125,-3.4358688733643955E-13,19000.0,84.7,69.40685286495824,81.134401972873,68.25726141078837,19000.0,-1.0,47.0
20000.0,1.453125,-3.7592447673281034E-13,20000.0,83.7,67.21351044742495,79.80173482032218,66.46090534979423,20000.0,-1.0,48.0
21000.0,1.59375,-4.1230426480372745E-13,21000.0,84.1,68.25561616048682,80.58608058608058,68.389662027833,21000.0,-1.0,52.0
22000.0,1.734375,-4.4868405287464456E-13,22000.0,83.0,66.06935423993356,78.80299251870322,65.51724137931033,22000.0,-1.0,55.0
23000.0,1.890625,-4.89106039620108E-13,23000.0,84.7,69.26031888903175,81.56626506024097,68.19126819126818,23000.0,-1.0,55.0
24000.0,2.046875,-5.295280263655714E-13,24000.0,84.7,69.3480142321377,80.82706766917292,68.90243902439023,24000.0,-1.0,58.0
25000.0,2.203125,-5.699500131110349E-13,25000.0,82.6,65.06318744202295,78.75457875457876,64.04958677685948,25000.0,-1.0,61.0
26000.0,2.375,-6.144141985310447E-13,26000.0,64.0,27.44276039987102,55.44554455445544,28.99408284023669,26000.0,-1.0,65.0
27000.0,2.546875,-6.588783839510545E-13,27000.0,74.3,47.77654049045347,68.77278250303767,46.6804979253112,27000.0,-1.0,66.0
28000.0,2.734375,-7.073847680456107E-13,28000.0,81.8,63.83219729337652,78.30750893921335,63.59999999999999,28000.0,-1.0,65.0
29000.0,2.90625,-7.518489534656205E-13,29000.0,82.69999999999999,65.5504755229159,78.69458128078819,64.3298969072165,29000.0,-1.0,64.0
30000.0,3.078125,-7.963131388856303E-13,30000.0,85.2,70.27443923131305,82.16867469879517,69.48453608247422,30000.0,-1.0,59.0
31000.0,3.234375,-8.367351256310937E-13,31000.0,84.1,68.20279815376247,79.87341772151898,68.00804828973843,31000.0,-1.0,58.0
32000.0,3.375,-8.731149137020109E-13,32000.0,86.4,72.8,83.47509113001216,71.78423236514523,32000.0,-1.0,54.0
33000.0,3.53125,-9.135369004474744E-13,33000.0,86.1,72.1951063387156,82.92383292383292,71.34020618556701,33000.0,-1.0,57.0
34000.0,3.6875,-9.53958887192938E-13,34000.0,85.3,70.60446812084562,81.78438661710037,70.77534791252485,34000.0,-1.0,59.0
35000.0,3.859375,-9.984230726129479E-13,35000.0,85.1,70.19999999999999,81.5136476426799,69.02286902286902,35000.0,-1.0,62.0
36000.0,4.015625,-1.0388450593584114E-12,36000.0,88.7,77.35761345238285,86.6745283018868,76.70103092783506,36000.0,-1.0,54.0
37000.0,4.171875,-1.079267046103875E-12,37000.0,87.2,74.36955102661963,84.54106280193236,73.93075356415478,37000.0,-1.0,55.0
38000.0,4.3125,-1.115646834174792E-12,38000.0,85.3,70.63875684096992,81.98529411764706,70.061099796334,38000.0,-1.0,44.0
39000.0,4.4375,-1.1479844235711629E-12,39000.0,85.0,70.0129544036976,81.24999999999999,69.51219512195121,39000.0,-1.0,43.0
40000.0,4.546875,-1.1762798142929873E-12,40000.0,85.2,70.32557654597731,81.95121951219511,69.85743380855396,40000.0,-1.0,42.0
41000.0,4.671875,-1.208617403689358E-12,41000.0,86.0,72.02294118822566,82.88508557457212,72.38658777120315,41000.0,-1.0,46.0
42000.0,4.796875,-1.2409549930857289E-12,42000.0,86.8,73.62795436836953,84.3601895734597,73.17073170731707,42000.0,-1.0,51.0
43000.0,4.9375,-1.277334781156646E-12,43000.0,86.2,72.35754118325748,83.08823529411762,72.17741935483872,43000.0,-1.0,54.0
44000.0,5.09375,-1.3177567679021096E-12,44000.0,84.3,68.61732323757286,80.61728395061728,67.95918367346938,44000.0,-1.0,53.0
45000.0,5.234375,-1.3541365559730267E-12,45000.0,82.89999999999999,65.7465646408397,78.6783042394015,65.52419354838709,45000.0,-1.0,54.0
46000.0,5.390625,-1.3945585427184903E-12,46000.0,83.6,67.19173231654376,79.34508816120906,67.19999999999999,46000.0,-1.0,59.0
47000.0,5.5625,-1.4390227281385002E-12,47000.0,83.7,67.45701530917832,80.45563549160671,67.26907630522088,47000.0,-1.0,62.0
48000.0,5.71875,-1.4794447148839637E-12,48000.0,85.2,70.42165135121091,81.99513381995132,70.04048582995951,48000.0,-1.0,59.0
49000.0,5.890625,-1.5239089003039736E-12,49000.0,83.39999999999999,66.78352462821559,79.45544554455444,66.8,49000.0,-1.0,64.0
50000.0,6.0625,-1.5683730857239835E-12,50000.0,84.0,67.98155737704917,80.29556650246303,67.74193548387096,50000.0,-1.0,60.0
51000.0,6.125,-1.5845418804221688E-12,51000.0,81.5,62.927634743018366,77.13226205191593,61.297071129707106,51000.0,-1.0,9.0
52000.0,6.15625,-1.5926262777712616E-12,52000.0,84.1,68.14520976078855,81.13879003558718,67.87878787878788,52000.0,-1.0,12.0
53000.0,6.203125,-1.6047528737949007E-12,53000.0,85.6,71.38235165525273,82.89786223277909,69.74789915966386,53000.0,-1.0,15.0
54000.0,6.25,-1.6168794698185398E-12,54000.0,82.6,65.32690353306896,78.11320754716981,64.12371134020619,54000.0,-1.0,21.0
55000.0,6.3125,-1.633048264516725E-12,55000.0,84.8,69.65353117101432,81.37254901960783,69.16835699797159,55000.0,-1.0,24.0
56000.0,6.390625,-1.6532592578894568E-12,56000.0,84.89999999999999,69.77243245840205,81.07769423558896,68.41004184100417,56000.0,-1.0,25.0
57000.0,6.46875,-1.6734702512621884E-12,57000.0,82.3,64.45954411835574,77.65151515151516,63.58024691358024,57000.0,-1.0,28.0
58000.0,6.546875,-1.6936812446349201E-12,58000.0,84.0,67.99116556169503,80.39215686274508,67.93587174348697,58000.0,-1.0,29.0
59000.0,6.625,-1.7138922380076518E-12,59000.0,84.0,68.03579990410739,79.69543147208121,67.14579055441477,59000.0,-1.0,30.0
60000.0,6.703125,-1.7341032313803834E-12,60000.0,85.3,70.57410521258707,81.76178660049628,70.71713147410358,60000.0,-1.0,32.0
61000.0,6.796875,-1.7583564234276615E-12,61000.0,84.5,68.93389132073051,80.86419753086419,68.10699588477365,61000.0,-1.0,35.0
62000.0,6.90625,-1.7866518141494859E-12,62000.0,85.7,71.41989175533828,82.85371702637889,70.99391480730223,62000.0,-1.0,37.0
63000.0,7.0,-1.810905006196764E-12,63000.0,84.3,68.76740670008753,80.59332509270703,67.22338204592901,63000.0,-1.0,39.0
64000.0,7.109375,-1.8392003969185885E-12,64000.0,82.8,65.46462131555698,77.97695262483995,65.04065040650406,64000.0,-1.0,39.0
65000.0,7.21875,-1.867495787640413E-12,65000.0,86.2,72.38044535531156,83.49282296650718,71.83673469387755,65000.0,-1.0,41.0
66000.0,7.328125,-1.8957911783622374E-12,66000.0,85.3,70.59200102427859,81.98529411764706,69.87704918032787,66000.0,-1.0,41.0
67000.0,7.4375,-1.9240865690840618E-12,67000.0,85.5,71.07058776585133,82.29548229548229,70.2258726899384,67000.0,-1.0,44.0
68000.0,7.5625,-1.9564241584804324E-12,68000.0,84.1,68.17326554305616,80.19925280199253,68.19999999999999,68000.0,-1.0,46.0
69000.0,7.6875,-1.988761747876803E-12,69000.0,83.7,67.2638174807198,79.82673267326732,66.39175257731958,69000.0,-1.0,46.0
70000.0,7.8125,-2.0210993372731735E-12,70000.0,84.5,69.14415849152758,81.28019323671496,68.04123711340205,70000.0,-1.0,47.0
71000.0,7.953125,-2.0574791253440907E-12,71000.0,86.8,73.593556827866,84.3601895734597,73.22515212981745,71000.0,-1.0,50.0
72000.0,8.078125,-2.0898167147404613E-12,72000.0,86.0,71.88845338302383,83.21342925659472,70.89397089397089,72000.0,-1.0,50.0
73000.0,8.21875,-2.1261965028113785E-12,73000.0,85.7,71.40709104142172,82.97619047619047,71.45708582834331,73000.0,-1.0,53.0
74000.0,8.359375,-2.1625762908822956E-12,74000.0,83.7,67.58231704891688,79.57393483709274,66.04166666666666,74000.0,-1.0,54.0
75000.0,8.515625,-2.202998277627759E-12,75000.0,84.8,69.51549695756637,81.62031438935914,70.07874015748031,75000.0,-1.0,56.0
76000.0,8.671875,-2.2434202643732223E-12,76000.0,65.2,30.486474825317313,58.47255369928401,28.09917355371901,76000.0,-1.0,56.0
77000.0,8.828125,-2.2838422511186856E-12,77000.0,74.9,49.647734749883654,69.0886699507389,47.26890756302521,77000.0,-1.0,55.0
78000.0,8.984375,-2.324264237864149E-12,78000.0,83.1,66.10155892712436,79.7846889952153,65.72008113590263,78000.0,-1.0,56.0
79000.0,9.140625,-2.3646862246096123E-12,79000.0,83.89999999999999,67.89605500342974,80.07425742574257,67.20977596741344,79000.0,-1.0,55.0
80000.0,9.28125,-2.4010660126805294E-12,80000.0,85.0,70.03164658121024,81.70731707317071,69.75806451612902,80000.0,-1.0,56.0
81000.0,9.4375,-2.4414879994259928E-12,81000.0,88.2,76.41556572662044,85.8173076923077,76.06490872210954,81000.0,-1.0,56.0
82000.0,9.578125,-2.47786778749691E-12,82000.0,85.8,71.58874914466128,82.66178266178267,71.25506072874494,82000.0,-1.0,54.0
83000.0,9.71875,-2.514247575567827E-12,83000.0,85.39999999999999,70.80035039579525,81.72715894868587,70.68273092369478,83000.0,-1.0,53.0
84000.0,9.859375,-2.5506273636387443E-12,84000.0,85.7,71.42171949318518,82.43243243243244,70.27027027027026,84000.0,-1.0,44.0
85000.0,9.984375,-2.582964953035115E-12,85000.0,86.5,73.04076236730064,83.25062034739454,71.99170124481327,85000.0,-1.0,46.0
86000.0,10.109375,-2.6153025424314854E-12,86000.0,88.7,77.38733690866886,86.51551312649165,77.88649706457926,86000.0,-1.0,45.0
87000.0,10.234375,-2.647640131827856E-12,87000.0,87.7,75.40236137330817,85.07281553398059,74.949083503055,87000.0,-1.0,44.0
88000.0,10.359375,-2.6799777212242266E-12,88000.0,87.5,74.95652452657814,84.93975903614458,74.2798353909465,88000.0,-1.0,46.0
89000.0,10.5,-2.7163575092951438E-12,89000.0,87.2,74.34335011705846,84.61538461538461,73.77049180327869,89000.0,-1.0,52.0
90000.0,10.640625,-2.752737297366061E-12,90000.0,86.1,72.27585326546567,83.41288782816228,71.80527383367141,90000.0,-1.0,55.0
91000.0,10.796875,-2.7931592841115243E-12,91000.0,85.0,70.03535827723286,81.57248157248156,69.69696969696969,91000.0,-1.0,51.0
92000.0,10.9375,-2.8295390721824414E-12,92000.0,87.0,73.98793039970546,84.375,73.08488612836439,92000.0,-1.0,45.0
93000.0,11.046875,-2.857834462904266E-12,93000.0,85.2,70.39301275100924,81.95121951219511,69.29460580912863,93000.0,-1.0,46.0
94000.0,11.1875,-2.894214250975183E-12,94000.0,83.3,66.6,78.96725440806046,66.6,94000.0,-1.0,48.0
95000.0,11.328125,-2.9305940390461E-12,95000.0,85.9,71.86864051713819,83.13397129186603,71.04722792607802,95000.0,-1.0,53.0
96000.0,11.484375,-2.9710160257915635E-12,96000.0,82.6,65.23295915472131,78.08564231738035,64.5621181262729,96000.0,-1.0,55.0
97000.0,11.640625,-3.011438012537027E-12,97000.0,87.6,75.20951954449491,85.23809523809524,75.0,97000.0,-1.0,58.0
98000.0,11.8125,-3.0559021979570367E-12,98000.0,84.8,69.6,81.48599269183923,68.97959183673468,98000.0,-1.0,66.0
99000.0,11.984375,-3.1003663833770467E-12,99000.0,87.3,74.57844251925633,84.82676224611708,74.1869918699187,99000.0,-1.0,69.0
100000.0,12.1875,-3.1529149661461493E-12,100000.0,83.7,67.41902728806377,79.87654320987654,67.65873015873015,100000.0,-1.0,63.0
