learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),members size
1000.0,0.015625,-4.042198674546348E-15,1000.0,66.7,62.95253808490211,63.0,61.811926605504595,1000.0,-1.0,4.0
2000.0,0.03125,-8.084397349092695E-15,2000.0,74.9,72.08133119772201,72.20376522702104,71.4448236632537,2000.0,-1.0,6.0
3000.0,0.078125,-2.021099337273174E-14,3000.0,72.6,69.50547677185422,69.79051819184123,68.79271070615034,3000.0,-1.0,10.0
4000.0,0.125,-3.233758939637078E-14,4000.0,72.2,69.09332260123048,69.00780379041248,68.48072562358276,4000.0,-1.0,12.0
5000.0,0.203125,-5.254858276910252E-14,5000.0,71.89999999999999,68.75510787271209,69.08690869086908,68.140589569161,5000.0,-1.0,18.0
6000.0,0.3125,-8.084397349092694E-14,6000.0,72.2,69.0696644614895,69.14539400665927,68.44494892167991,6000.0,-1.0,23.0
7000.0,0.453125,-1.1722376156184408E-13,7000.0,72.39999999999999,69.27970935933723,70.06507592190889,68.70748299319727,7000.0,-1.0,30.0
8000.0,0.609375,-1.5764574830730757E-13,8000.0,74.1,71.20289616587132,71.66301969365426,70.73446327683615,8000.0,-1.0,26.0
9000.0,0.765625,-1.9806773505277105E-13,9000.0,73.2,70.18538460853854,70.28824833702882,70.1226309921962,9000.0,-1.0,34.0
10000.0,0.96875,-2.5061631782187356E-13,10000.0,73.6,70.60621344565322,70.46979865771812,70.3037120359955,10000.0,-1.0,34.0
11000.0,1.15625,-2.9912270191642974E-13,11000.0,75.3,72.54026963898792,72.67699115044249,72.21597300337457,11000.0,-1.0,38.0
12000.0,1.359375,-3.5167128468553224E-13,12000.0,74.3,71.40940508200605,71.72717271727173,70.92760180995475,12000.0,-1.0,43.0
13000.0,1.546875,-4.0017766878008843E-13,13000.0,74.5,71.64789127021895,71.54017857142857,71.31608548931383,13000.0,-1.0,45.0
14000.0,1.734375,-4.486840528746446E-13,14000.0,72.1,68.97873319820366,68.9655172413793,68.33144154370034,14000.0,-1.0,39.0
15000.0,1.890625,-4.891060396201081E-13,15000.0,72.89999999999999,69.8677628426152,69.78818283166109,69.41309255079007,15000.0,-1.0,32.0
16000.0,2.03125,-5.254858276910253E-13,16000.0,76.7,74.07530622849113,74.16851441241685,73.37142857142858,16000.0,-1.0,31.0
17000.0,2.1875,-5.659078144364887E-13,17000.0,75.4,72.64548211225805,73.11475409836066,72.17194570135746,17000.0,-1.0,33.0
18000.0,2.328125,-6.022876025074059E-13,18000.0,73.8,70.87487646834532,70.8240534521158,70.3954802259887,18000.0,-1.0,33.0
19000.0,2.5,-6.467517879274157E-13,19000.0,76.7,74.10129838083095,74.02452619843925,73.79077615298087,19000.0,-1.0,32.0
20000.0,2.671875,-6.912159733474255E-13,20000.0,72.39999999999999,69.3263124670758,69.05829596412556,69.33333333333334,20000.0,-1.0,31.0
21000.0,2.84375,-7.356801587674353E-13,21000.0,74.3,71.43247782682302,71.94323144104804,70.56128293241696,21000.0,-1.0,34.0
22000.0,3.0,-7.761021455128987E-13,22000.0,75.3,72.54136859599683,72.76736493936053,72.02718006795017,22000.0,-1.0,34.0
23000.0,3.140625,-8.124819335838159E-13,23000.0,75.4,72.64709414292004,72.93729372937294,72.42152466367713,23000.0,-1.0,35.0
24000.0,3.3125,-8.569461190038257E-13,24000.0,70.19999999999999,66.86411060715402,66.66666666666666,66.17480136208853,24000.0,-1.0,41.0
25000.0,3.5,-9.054525030983819E-13,25000.0,70.8,67.53524704898732,67.5194660734149,66.93091732729332,25000.0,-1.0,43.0
26000.0,3.6875,-9.53958887192938E-13,26000.0,67.10000000000001,63.40634638506979,63.44444444444445,62.78280542986426,26000.0,-1.0,26.0
27000.0,3.796875,-9.822542779147624E-13,27000.0,74.9,72.08390843077088,72.20376522702104,71.4448236632537,27000.0,-1.0,19.0
