learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),ensemble size
1000.0,0.109375,-2.8295390721824433E-14,1000.0,84.5,69.02676087860088,81.45933014354067,64.03712296983758,1000.0,-1.0,10.0
2000.0,0.140625,-3.637978807091713E-14,2000.0,84.89999999999999,69.81110951169968,81.44963144963144,69.4331983805668,2000.0,-1.0,10.0
3000.0,0.1875,-4.8506384094556176E-14,3000.0,88.6,77.19087635054022,86.61971830985915,75.8985200845666,3000.0,-1.0,10.0
4000.0,0.234375,-6.063298011819522E-14,4000.0,87.5,75.00379942248779,84.83009708737865,75.0996015936255,4000.0,-1.0,10.0
5000.0,0.28125,-7.275957614183426E-14,5000.0,87.7,75.39409458269985,85.03649635036497,75.05070993914808,5000.0,-1.0,10.0
6000.0,0.3125,-8.084397349092696E-14,6000.0,86.5,73.00971650205925,83.0827067669173,72.67206477732793,6000.0,-1.0,10.0
7000.0,0.34375,-8.892837084001965E-14,7000.0,87.7,75.4,84.85221674876847,74.15966386554622,7000.0,-1.0,10.0
8000.0,0.40625,-1.0509716553820505E-13,8000.0,88.3,76.5986895266135,85.5911330049261,76.50602409638554,8000.0,-1.0,10.0
9000.0,0.4375,-1.1318156288729775E-13,9000.0,88.3,76.60524042614455,85.55555555555556,76.69322709163346,9000.0,-1.0,10.0
10000.0,0.484375,-1.2530815891093678E-13,10000.0,88.0,75.98626414308984,84.96240601503759,75.95190380761522,10000.0,-1.0,10.0
11000.0,0.5,-1.2935035758548313E-13,11000.0,86.8,73.59746535667423,83.20610687022901,73.38709677419355,11000.0,-1.0,10.0
12000.0,0.53125,-1.3743475493457582E-13,12000.0,89.5,79.003359462486,87.4401913875598,78.43942505133471,12000.0,-1.0,10.0
13000.0,0.578125,-1.4956135095821487E-13,13000.0,87.3,74.58719194474016,83.92405063291139,74.2393509127789,13000.0,-1.0,10.0
14000.0,0.609375,-1.5764574830730757E-13,14000.0,90.10000000000001,80.20047518859548,88.2701421800948,80.2,14000.0,-1.0,10.0
15000.0,0.65625,-1.697723443309466E-13,15000.0,89.7,79.4,87.56038647342996,79.1919191919192,15000.0,-1.0,10.0
16000.0,0.703125,-1.8189894035458566E-13,16000.0,88.9,77.8062142600072,86.62650602409639,77.66599597585513,16000.0,-1.0,10.0
17000.0,0.734375,-1.8998333770367835E-13,17000.0,89.8,79.60000000000001,87.74038461538461,79.64071856287426,17000.0,-1.0,10.0
18000.0,0.78125,-2.021099337273174E-13,18000.0,88.1,76.19923837562801,85.50548112058465,76.34194831013916,18000.0,-1.0,10.0
19000.0,0.796875,-2.0615213240186375E-13,19000.0,88.4,76.80046399072017,85.69667077681875,75.93360995850622,19000.0,-1.0,10.0
20000.0,0.828125,-2.1423652975095645E-13,20000.0,87.8,75.5859375,84.8822800495663,74.8971193415638,20000.0,-1.0,10.0
21000.0,0.875,-2.263631257745955E-13,21000.0,89.2,78.40725516226547,86.81318681318683,78.52882703777337,21000.0,-1.0,10.0
22000.0,0.90625,-2.3444752312368816E-13,22000.0,87.6,75.20069438055734,84.53865336658353,74.84787018255578,22000.0,-1.0,10.0
23000.0,0.953125,-2.465741191473272E-13,23000.0,89.8,79.59477626272327,87.71084337349397,78.79417879417879,23000.0,-1.0,10.0
24000.0,0.984375,-2.546585164964199E-13,24000.0,87.7,75.39606337013922,84.58646616541353,75.0,24000.0,-1.0,10.0
25000.0,1.03125,-2.667851125200589E-13,25000.0,87.7,75.38700433829062,84.98168498168498,74.58677685950413,25000.0,-1.0,10.0
26000.0,1.09375,-2.829539072182443E-13,26000.0,55.60000000000001,12.081993441791957,45.04950495049505,12.426035502958591,26000.0,-1.0,10.0
27000.0,1.125,-2.91038304567337E-13,27000.0,64.60000000000001,30.510843449174768,56.98663426488457,26.556016597510375,27000.0,-1.0,10.0
28000.0,1.1875,-3.072070992655224E-13,28000.0,75.4,50.314071620447976,70.67938021454113,50.8,28000.0,-1.0,10.0
29000.0,1.234375,-3.193336952891614E-13,29000.0,79.0,57.79590097712538,74.13793103448276,56.70103092783506,29000.0,-1.0,10.0
30000.0,1.28125,-3.3146029131280043E-13,30000.0,80.60000000000001,61.50304800609603,76.62650602409639,60.00000000000001,30000.0,-1.0,10.0
31000.0,1.328125,-3.4358688733643945E-13,31000.0,80.10000000000001,60.188852878806074,74.81012658227849,59.95975855130785,31000.0,-1.0,10.0
